expression,reading,meaning,tags,parts_of_speech,group
船舶,せんぱく,ship,N1,noun,Travel & Transport
走行,そうこう,"running a wheeled vehicle (e.g., car, traveling)",N1,noun,Travel & Transport
他動詞,たどうし,transitive verb (direct object),N1,noun,Travel & Transport
使い道,つかいみち,use,N1,noun,Travel & Transport
適応,てきおう,"adaptation, accommodation, conformity",N1,noun,Travel & Transport
染みる,しみる,to soak; pierce,N1,verb,Travel & Transport
ロープウエイ,ロープウエイ,"ropeway, aerial tram",N1,noun,Travel & Transport
橋渡し,はしわたし,"bridge building', mediation",N1,noun,Travel & Transport
躾,しつけ,"discipline, training",N1,noun,Travel & Transport
地元,じもと,local,N1,noun,Travel & Transport
比例,ひれい,proportion,N1,noun,Travel & Transport
綻びる,ほころびる,"to come apart at the seams, to smile broadly",N1,verb,Travel & Transport
ファイル,ファイル,file; portfolio,N1,noun,Travel & Transport
便宜,べんぎ,"convenience, accommodation",N1,noun,Travel & Transport
紡績,ぼうせき,spinning,N1,noun,Travel & Transport
報道,ほうどう,"coverage, report",N1,noun,Communication
民宿,みんしゅく,private house providing lodging and meals to tourists,N1,noun,Travel & Transport
用法,ようほう,"directions, rules of use",N1,noun,Travel & Transport
抑圧,よくあつ,"restraint, oppression, suppression",N1,noun,Travel & Transport
抑制,よくせい,"control, restraint, suppression",N1,noun,Travel & Transport
濫用,らんよう,"abuse, misuse, using to excess",N1,noun,Travel & Transport
旅券,りょけん,passport,N1,noun,Travel & Transport
描写,びょうしゃ,"depiction, description, portrayal",N1,noun,Travel & Transport
束縛,そくばく,"restraint, restriction, confinement",N1,na-adjective,Travel & Transport
多忙,たぼう,busy,N1,na-adjective,Travel & Transport
無邪気,むじゃき,"innocence, simple-mindedness",N1,na-adjective,Travel & Transport
当～,とう～,"Our ~ (e.g., Hotel, plane, etc.)",N1,prefix/suffix,Travel & Transport
倹約,けんやく,"thrift, economy, frugality",N1,noun,Shopping & Money
購入,こうにゅう,"purchase, buy",N1,noun,Shopping & Money
購買,こうばい,"purchase, buy",N1,noun,Shopping & Money
小売,こうり,retail,N1,noun,Shopping & Money
小切手,こぎって,"cheque, check",N1,noun,Shopping & Money
財,ざい,"fortune, riches",N1,noun,Shopping & Money
災害,さいがい,"calamity, disaster, misfortune",N1,noun,Shopping & Money
