expression,reading,meaning,tags,group
出動,しゅつどう,"mobilization, action",N1,N1_Group_8
出費,しゅっぴ,"expenses, disbursements",N1,N1_Group_8
養う,やしなう,"to rear, to maintain, to cultivate",N1,N1_Group_8
主導,しゅどう,main leadership,N1,N1_Group_8
守備,しゅび,defense,N1,N1_Group_8
手法,しゅほう,technique,N1,N1_Group_8
樹木,じゅもく,"trees and shrubs, arbor",N1,N1_Group_8
上演,じょうえん,art performance,N1,N1_Group_8
歪む,ゆがむ,"to warp, to be crooked, to be distorted",N1,N1_Group_8
城下,じょうか,land near the castle,N1,N1_Group_8
消去,しょうきょ,"elimination, erasing",N1,N1_Group_8
証言,しょうげん,"evidence, testimony",N1,N1_Group_8
証拠,しょうこ,"evidence, proof",N1,N1_Group_8
照合,しょうごう,"check, verification",N1,N1_Group_8
濯ぐ,ゆすぐ,"to rinse, to wash out",N1,N1_Group_8
詳細,しょうさい,"detail, particulars",N1,N1_Group_8
昇進,しょうしん,promotion,N1,N1_Group_8
承諾,しょうだく,"consent, agreement",N1,N1_Group_8
象徴,しょうちょう,symbol,N1,N1_Group_8
情熱,じょうねつ,"passion, enthusiasm, zeal",N1,N1_Group_8
歪む,ひずむ,"to warp, to be distorted",N1,N1_Group_8
譲歩,じょうほ,"concession, conciliation, compromise",N1,N1_Group_8
上陸,じょうりく,"landing, disembarkation",N1,N1_Group_8
奨励,しょうれい,"encouragement, promotion",N1,N1_Group_8
除外,じょがい,"exception, exclusion",N1,N1_Group_8
職務,しょくむ,professional duties,N1,N1_Group_8
浸す,ひたす,"to soak, to dip, to drench",N1,N1_Group_8
助言,じょげん,"advice, suggestion",N1,N1_Group_8
所在,しょざい,whereabouts,N1,N1_Group_8
所持,しょじ,"possession, owning",N1,N1_Group_8
所定,しょてい,"fixed, prescribed",N1,N1_Group_8
処罰,しょばつ,punishment,N1,N1_Group_8
試みる,こころみる,"to try, to test",N1,N1_Group_8
初版,しょはん,first edition,N1,N1_Group_8
書評,しょひょう,book review,N1,N1_Group_8
処分,しょぶん,"disposal, dealing, punishment",N1,N1_Group_8
庶務,しょむ,general affairs,N1,N1_Group_8
所有,しょゆう,"one's possessions, ownership",N1,N1_Group_8
こす (みずを～),こす (みずを～),"to strain, to filter",N1,N1_Group_8
調べ,しらべ,"investigation, inspection",N1,N1_Group_8
指令,しれい,"orders, instructions, directive",N1,N1_Group_8
進化,しんか,"evolution, progress",N1,N1_Group_8
審議,しんぎ,deliberation,N1,N1_Group_8
審査,しんさ,"judging, inspection, examination",N1,N1_Group_8
籠もる,こもる,"to seclude oneself, to be confined in",N1,N1_Group_8
人材,じんざい,man of talent,N1,N1_Group_8
紳士,しんし,gentleman,N1,N1_Group_8
真実,しんじつ,"truth, reality",N1,N1_Group_8
信者,しんじゃ,"believer, devotee",N1,N1_Group_8
真珠,しんじゅ,pearl,N1,N1_Group_8
凝らす,こらす,"to concentrate, to devote, to peer into",N1,N1_Group_8
進出,しんしゅつ,advancement,N1,N1_Group_8
心情,しんじょう,mentality,N1,N1_Group_8
進呈,しんてい,presentation,N1,N1_Group_8
進展,しんてん,"progress, development",N1,N1_Group_8
進度,しんど,progress,N1,N1_Group_8
冴える,さえる,"to be clear, to be bright, to be skillful",N1,N1_Group_8
振動,しんどう,"oscillation, vibration",N1,N1_Group_8
神秘,しんぴ,mystery,N1,N1_Group_8
侵略,しんりゃく,"aggression, invasion, raid",N1,N1_Group_8
水源,すいげん,source of river,N1,N1_Group_8
推進,すいしん,"propulsion, driving force",N1,N1_Group_8
栄える,さかえる,"to flourish, to prosper, to thrive",N1,N1_Group_8
推測,すいそく,"guess, conjecture",N1,N1_Group_8
数詞,すうし,numeral,N1,N1_Group_8
進み,すすみ,progress,N1,N1_Group_8
ストロボ,ストロボ,"stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)",N1,N1_Group_8
ずれ,ずれ,"difference, gap",N1,N1_Group_8
摩する,さする,"to rub, to stroke",N1,N1_Group_8
正義,せいぎ,"justice, right, righteousness",N1,N1_Group_8
星座,せいざ,constellation,N1,N1_Group_8
政策,せいさく,"political measures, policy",N1,N1_Group_8
成熟,せいじゅく,"maturity, ripeness",N1,N1_Group_8
清純,せいじゅん,"purity, innocence",N1,N1_Group_8
定める,さだめる,"to decide, to determine",N1,N1_Group_8
聖書,せいしょ,Bible,N1,N1_Group_8
正常,せいじょう,"normalcy, normality, normal",N1,N1_Group_8
整然,せいぜん,"orderly, regular, well-organized",N1,N1_Group_8
盛大,せいだい,"grand, prosperous, magnificent",N1,N1_Group_8
静的,せいてき,static,N1,N1_Group_8
察する,さっする,"to guess, to sense, to judge",N1,N1_Group_8
製鉄,せいてつ,iron manufacture,N1,N1_Group_8
制服,せいふく,uniform,N1,N1_Group_8
征服,せいふく,"conquest, subjugation, overcoming",N1,N1_Group_8
製法,せいほう,"manufacturing method, recipe, formula",N1,N1_Group_8
精密,せいみつ,"precise, exact, detailed, minute",N1,N1_Group_8
強いて,しいて,"to dare, to insist",N1,N1_Group_8
責務,せきむ,"duty, obligation",N1,N1_Group_8
世辞,せじ,"flattery, compliment",N1,N1_Group_8
是正,ぜせい,"correction, revision",N1,N1_Group_8
世代,せだい,generation,N1,N1_Group_8
切実,せつじつ,"compelling, serious, severe, acute",N1,N1_Group_8
強いる,しいる,"to force, to compel, to coerce",N1,N1_Group_8
接触,せっしょく,"touch, contact",N1,N1_Group_8
設置,せっち,"establishment, institution",N1,N1_Group_8
説得,せっとく,persuasion,N1,N1_Group_8
絶版,ぜっぱん,out of print,N1,N1_Group_8
設立,せつりつ,"establishment, foundation, institution",N1,N1_Group_8
悩ます,なやます,"to bother, to harass, to molest",N1,N1_Group_8
攻め,せめ,"attack, offense",N1,N1_Group_8
世論,せろん,public opinion,N1,N1_Group_8
繊維,せんい,"fiber, fiber, textile",N1,N1_Group_8
宣教,せんきょう,religious mission,N1,N1_Group_8
宣言,せんげん,"declaration, proclamation, announcement",N1,N1_Group_8
ねだる,ねだる,"to nag, to demand",N1,N1_Group_8
戦災,せんさい,war damage,N1,N1_Group_8
戦術,せんじゅつ,tactics,N1,N1_Group_8
潜水,せんすい,diving,N1,N1_Group_8
全盛,ぜんせい,height of prosperity,N1,N1_Group_8
先着,せんちゃく,first arrival,N1,N1_Group_8
逃れる,のがれる,to escape,N1,N1_Group_8
戦闘,せんとう,"battle, fight, combat",N1,N1_Group_8
潜入,せんにゅう,"infiltration, sneaking in",N1,N1_Group_8
船舶,せんぱく,ship,N1,N1_Group_8
全滅,ぜんめつ,annihilation,N1,N1_Group_8
占領,せんりょう,"occupation, possession, have a room to oneself",N1,N1_Group_8
受かる,うかる,to pass (examination),N1,N1_Group_8
戦力,せんりょく,war potential,N1,N1_Group_8
前例,ぜんれい,precedent,N1,N1_Group_8
相応,そうおう,"suitability, fitness",N1,N1_Group_8
増強,ぞうきょう,"reinforce, increase",N1,N1_Group_8
総合,そうごう,"synthesis, generalization",N1,N1_Group_8
埋める,うずめる,"to bury, to fill",N1,N1_Group_8
捜索,そうさく,"search (esp. for someone or something missing, investigation)",N1,N1_Group_8
蔵相,ぞうしょう,Minister of Finance,N1,N1_Group_8
増進,ぞうしん,"promoting, increase, advance",N1,N1_Group_8
相対,そうたい,relative,N1,N1_Group_8
壮大,そうだい,"magnificent, grand, majestic",N1,N1_Group_8
騒動,そうどう,"strife, riot, rebellion",N1,N1_Group_8
遭難,そうなん,"disaster, shipwreck, accident",N1,N1_Group_8
装備,そうび,equipment,N1,N1_Group_8
創立,そうりつ,"establishment, founding",N1,N1_Group_8
促進,そくしん,"promotion, acceleration, encouragement",N1,N1_Group_8
側面,そくめん,"side, sidelight, lateral",N1,N1_Group_8
素材,そざい,"raw materials, subject matter",N1,N1_Group_8
阻止,そし,"obstruction, check, hindrance",N1,N1_Group_8
措置,そち,"measure, step",N1,N1_Group_8
揃い,そろい,"set, suit, uniform",N1,N1_Group_8
損失,そんしつ,loss,N1,N1_Group_8
存続,そんぞく,"duration, continuance",N1,N1_Group_8
対応,たいおう,dealing with,N1,N1_Group_8
退化,たいか,"degeneration, retrogression",N1,N1_Group_8
大概,たいがい,"in general, mainly",N1,N1_Group_8
体格,たいかく,"physique, constitution",N1,N1_Group_8
退治,たいじ,extermination,N1,N1_Group_8
大衆,たいしゅう,general public,N1,N1_Group_9
著しい,いちじるしい,"remarkable, considerable",N1,N1_Group_9
対処,たいしょ,"deal with, cope",N1,N1_Group_9
丸々,まるまる,completely,N1,N1_Group_9
退職,たいしょく,retirement (from office),N1,N1_Group_9
上回る,うわまわる,to exceed,N1,N1_Group_9
卑しい,いやしい,"greedy, vulgar, shabby",N1,N1_Group_9
対談,たいだん,"talk, dialogue",N1,N1_Group_9
～薬,～やく,medicine,N1,N1_Group_9
対等,たいとう,equivalent,N1,N1_Group_9
お使い,おつかい,errand,N1,N1_Group_9
植わる,うわる,to be planted,N1,N1_Group_9
対比,たいひ,"contrast, comparison",N1,N1_Group_9
専ら,もっぱら,"wholly, solely, entirely",N1,N1_Group_9
大便,だいべん,feces,N1,N1_Group_9
味わい,あじわい,"flavor, relish",N1,N1_Group_9
台本,だいほん,"libretto, scenario",N1,N1_Group_9
遅らす,おくらす,"to retard, to delay",N1,N1_Group_9
～油,～ゆ,~ oil,N1,N1_Group_9
タイマー,タイマー,timer,N1,N1_Group_9
でかい,でかい,huge,N1,N1_Group_9
怠慢,たいまん,"negligence, carelessness",N1,N1_Group_9
余程,よほど,"very, much, to a large extent, quite",N1,N1_Group_9
おごる (ゆうしょくを～),おごる (ゆうしょくを～),to give (someone) a treat,N1,N1_Group_9
タイムリー,タイムリー,"timely, run-batted-in (baseball), RBI",N1,N1_Group_9
文化財,ぶんかざい,"cultural assets, cultural property",N1,N1_Group_9
代用,だいよう,substitution,N1,N1_Group_9
～掛け,～かけ,"rack, hanger",N1,N1_Group_9
体力,たいりょく,physical strength,N1,N1_Group_9
収まる,おさまる,to settle into; to be obtained,N1,N1_Group_9
見合い,みあい,formal marriage interview,N1,N1_Group_9
対話,たいわ,"conversation, dialogue",N1,N1_Group_9
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",N1,N1_Group_9
妥協,だきょう,"compromise, giving in",N1,N1_Group_9
空しい,むなしい,"vacant, futile, vain",N1,N1_Group_9
納まる,おさまる,to settle into; to be obtained,N1,N1_Group_9
巧み,たくみ,"skill, cleverness",N1,N1_Group_9
妥結,だけつ,agreement,N1,N1_Group_9
助け,たすけ,assistance,N1,N1_Group_9
欲深い,よくふかい,greedy,N1,N1_Group_9
脱出,だっしゅつ,escape,N1,N1_Group_9
惜しむ,おしむ,"to be frugal, to value, to regret",N1,N1_Group_9
さっと,さっと,"suddenly, smoothly",N1,N1_Group_9
達成,たっせい,achievement,N1,N1_Group_9
平たい,ひらたい,"flat, even, level",N1,N1_Group_9
脱退,だったい,"secession, withdrawal",N1,N1_Group_9
だと,だと,if it's the case,N1,N1_Group_9
省みる,かえりみる,to reflect,N1,N1_Group_9
弛み,たるみ,"slack, slackening",N1,N1_Group_9
好ましい,このましい,"nice, likable, desirable",N1,N1_Group_9
タレント,タレント,"talent, star, personality",N1,N1_Group_9
短歌,たんか,31-syllable Japanese poem,N1,N1_Group_9
担架,たんか,"stretcher, litter",N1,N1_Group_9
顧みる,かえりみる,"to look back, to turn around, to review",N1,N1_Group_9
短気,たんき,quick temper,N1,N1_Group_9
団結,だんけつ,"unity, union, solidarity",N1,N1_Group_9
探検,たんけん,"exploration, expedition",N1,N1_Group_9
断言,だんげん,"assertion, declaration, affirmation",N1,N1_Group_9
炭素,たんそ,carbon (C),N1,N1_Group_9
掲げる,かかげる,"to hoist, to fly (a sail), to float (a flag)",N1,N1_Group_9
短大,たんだい,junior college,N1,N1_Group_9
単調,たんちょう,"monotony, monotone, dullness",N1,N1_Group_9
単独,たんどく,"sole, single",N1,N1_Group_9
断面,だんめん,cross section,N1,N1_Group_9
治安,ちあん,"public order, security",N1,N1_Group_9
かさむ,かさむ,"to pile up, to increase",N1,N1_Group_9
チームワーク,チームワーク,teamwork,N1,N1_Group_9
チェンジ,チェンジ,change,N1,N1_Group_9
畜産,ちくさん,animal husbandry,N1,N1_Group_9
畜生,ちくしょう,"beast, brute, damn",N1,N1_Group_9
蓄積,ちくせき,"accumulation, accumulate, store",N1,N1_Group_9
叶える,かなえる,"to grant (request, wish)",N1,N1_Group_9
知性,ちせい,intelligence,N1,N1_Group_9
秩序,ちつじょ,"order, regularity",N1,N1_Group_9
窒息,ちっそく,suffocation,N1,N1_Group_9
知的,ちてき,intellectual,N1,N1_Group_9
着手,ちゃくしゅ,"embarkation, launch",N1,N1_Group_9
構える,かまえる,to set up,N1,N1_Group_9
着目,ちゃくもく,attention,N1,N1_Group_9
中継,ちゅうけい,"relay, hook-up",N1,N1_Group_9
忠告,ちゅうこく,"advice, warning",N1,N1_Group_9
中傷,ちゅうしょう,"slander, libel, defamation",N1,N1_Group_9
中毒,ちゅうどく,poisoning,N1,N1_Group_9
着飾る,きかざる,to dress up,N1,N1_Group_9
中立,ちゅうりつ,neutrality,N1,N1_Group_9
中和,ちゅうわ,"neutralize, counteract",N1,N1_Group_9
聴覚,ちょうかく,the sense of hearing,N1,N1_Group_9
徴収,ちょうしゅう,"collection, levy",N1,N1_Group_9
調停,ちょうてい,"arbitration, conciliation, mediation",N1,N1_Group_9
きしむ,きしむ,"to jar, to creak, to grate",N1,N1_Group_9
調理,ちょうり,cooking,N1,N1_Group_9
調和,ちょうわ,harmony,N1,N1_Group_9
直面,ちょくめん,confrontation,N1,N1_Group_9
貯蓄,ちょちく,savings,N1,N1_Group_9
直感,ちょっかん,"intuition, instinct",N1,N1_Group_9
禁じる,きんじる,to prohibit,N1,N1_Group_9
賃金,ちんぎん,wages,N1,N1_Group_9
沈没,ちんぼつ,"sinking, foundering",N1,N1_Group_9
沈黙,ちんもく,"silence, reticence",N1,N1_Group_9
追及,ついきゅう,"investigation, inquiry",N1,N1_Group_9
追跡,ついせき,pursuit,N1,N1_Group_9
口吟む,くちずさむ,to humble,N1,N1_Group_9
追放,ついほう,"exile, banishment",N1,N1_Group_9
通常,つうじょう,"common, normal, usual",N1,N1_Group_9
痛切,つうせつ,"keen, deep",N1,N1_Group_9
月並,つきなみ,"conventional, trite, common",N1,N1_Group_9
継目,つぎめ,"joint, seam",N1,N1_Group_9
朽ちる,くちる,to rot,N1,N1_Group_9
津波,つなみ,"tsunami, tidal wave",N1,N1_Group_9
定義,ていぎ,definition,N1,N1_Group_9
提供,ていきょう,"offer, program sponsoring",N1,N1_Group_9
提携,ていけい,"cooperation, tie-up, joint business",N1,N1_Group_9
体裁,ていさい,"decency, style, form, appearance",N1,N1_Group_9
転じる,てんじる,"to turn, to shift",N1,N1_Group_9
提示,ていじ,"presentation, exhibit, suggest, citation",N1,N1_Group_9
訂正,ていせい,"correction, revision",N1,N1_Group_9
停滞,ていたい,"stagnation, tie-up, congestion, retention",N1,N1_Group_9
邸宅,ていたく,"mansion, residence",N1,N1_Group_9
定年,ていねん,retirement age,N1,N1_Group_9
転ずる,てんずる,"to turn, to shift",N1,N1_Group_9
堤防,ていぼう,"bank, weir",N1,N1_Group_9
適応,てきおう,"adaptation, accommodation, conformity",N1,N1_Group_9
適宜,てきぎ,suitability,N1,N1_Group_9
適性,てきせい,aptitude,N1,N1_Group_9
手際,てぎわ,"performance, skill, tact",N1,N1_Group_9
仕切る,しきる,"to partition, to divide, to mark off",N1,N1_Group_9
手順,てじゅん,"process, procedure, protocol",N1,N1_Group_9
鉄鋼,てっこう,iron and steel,N1,N1_Group_9
鉄棒,てつぼう,"iron rod, crowbar, horizontal bar (gymnastics)",N1,N1_Group_9
手配,てはい,"arrangement, search (by police)",N1,N1_Group_9
手筈,てはず,"arrangement, plan, program",N1,N1_Group_9
湿気る,しける,"to be damp, to be moist",N1,N1_Group_9
手引,てびき,"guidance, guide, introduction",N1,N1_Group_9
手本,てほん,"model, pattern",N1,N1_Group_9
テレックス,テレックス,"telex, teletypewriter exchange",N1,N1_Group_9
転回,てんかい,"revolution, rotation",N1,N1_Group_9
連帯,れんたい,solidarity,N1,N1_Group_9
沈める,しずめる,"to sink, to submerge",N1,N1_Group_9
連邦,れんぽう,"commonwealth, federation of states",N1,N1_Group_9
老衰,ろうすい,"senility, senile decay",N1,N1_Group_9
浪費,ろうひ,"waste, extravagance",N1,N1_Group_9
ロープウエイ,ロープウエイ,"ropeway, aerial tram",N1,N1_Group_9
露骨,ろこつ,"blunt, outspoken; conspicuous; broad, suggestive",N1,N1_Group_9
明かす,あかす,to reveal; to stay up,N1,N1_Group_9
論議,ろんぎ,discussion,N1,N1_Group_9
論理,ろんり,logic,N1,N1_Group_9
惑星,わくせい,planet,N1,N1_Group_9
詫び,わび,apology,N1,N1_Group_9
和文,わぶん,"Japanese text, sentence in Japanese",N1,N1_Group_9
嘲笑う,あざわらう,"to sneer at, to ridicule",N1,N1_Group_9
迫害,はくがい,persecution,N1,N1_Group_9
白状,はくじょう,confession,N1,N1_Group_9
漠然,ばくぜん,"obscure, vague, equivocal",N1,N1_Group_9
爆弾,ばくだん,bomb,N1,N1_Group_9
暴露,ばくろ,"disclosure, exposure, revelation",N1,N1_Group_9
あせる (こえが～),あせる (こえが～),"to fade, to discolor",N1,N1_Group_9
破損,はそん,damage,N1,N1_Group_9
裸足,はだし,barefoot,N1,N1_Group_9
蜂蜜,はちみつ,honey,N1,N1_Group_9
パチンコ,パチンコ,pachinko (Japanese pinball),N1,N1_Group_9
発芽,はつが,germination,N1,N1_Group_9
値する,あたいする,"to be worth, to deserve",N1,N1_Group_9
発言,はつげん,"utterance, speech, proposal",N1,N1_Group_9
質疑,しつぎ,question,N1,N1_Group_9
実態,じったい,"truth, fact",N1,N1_Group_9
失調,しっちょう,"lack of harmony, imbalance",N1,N1_Group_9
嫉妬,しっと,jealousy,N1,N1_Group_9
荒らす,あらす,to damage; to invade,N1,N1_Group_9
指摘,してき,"pointing out, identification",N1,N1_Group_9
自転,じてん,"rotation, spin",N1,N1_Group_9
屎尿,しにょう,human waste,N1,N1_Group_9
地主,じぬし,landlord,N1,N1_Group_9
司法,しほう,administration of justice,N1,N1_Group_9
合わす,あわす,"to join together, to face, to unite",N1,N1_Group_9
使命,しめい,"mission, errand, message",N1,N1_Group_9
地元,じもと,local,N1,N1_Group_9
視野,しや,"field of vision, outlook",N1,N1_Group_9
謝絶,しゃぜつ,refusal,N1,N1_Group_9
斜面,しゃめん,"slope, slanting surface, bevel",N1,N1_Group_9
案じる,あんじる,"to be anxious, to ponder",N1,N1_Group_9
私有,しゆう,private ownership,N1,N1_Group_9
周期,しゅうき,"cycle, period",N1,N1_Group_9
集計,しゅうけい,"totalization, aggregate",N1,N1_Group_9
襲撃,しゅうげき,"attack, charge, raid",N1,N1_Group_9
修士,しゅうし,Masters degree program,N1,N1_Group_9
"(花を〜) 生ける, 活ける",(はなを～) いける,to arrange (flowers),N1,N1_Group_9
充実,じゅうじつ,"fullness, perfection",N1,N1_Group_9
収集,しゅうしゅう,"gathering up, collection",N1,N1_Group_9
柔軟,じゅうなん,flexible,N1,N1_Group_9
重複,じゅうふく,"duplication, repetition, overlapping",N1,N1_Group_9
従来,じゅうらい,"up to now, so far, traditional",N1,N1_Group_9
いじる,いじる,"to touch, to tamper with",N1,N1_Group_9
祝賀,しゅくが,"celebration, congratulations",N1,N1_Group_9
主権,しゅけん,sovereignty,N1,N1_Group_9
主催,しゅさい,"organization, sponsorship, to host",N1,N1_Group_9
取材,しゅざい,"coverage, collecting data",N1,N1_Group_9
種々,しゅじゅ,variety,N1,N1_Group_9
擦れる,すれる,"to rub, to chafe",N1,N1_Group_9
主体,しゅたい,"subject, main constituent",N1,N1_Group_9
主題,しゅだい,"subject, theme, motif",N1,N1_Group_9
出演,しゅつえん,"leading performer, stage appearance",N1,N1_Group_9
出血,しゅっけつ,bleeding,N1,N1_Group_9
出現,しゅつげん,"appearance, arrival",N1,N1_Group_9
制する,せいする,"to control, to command",N1,N1_Group_9
出生,しゅっしょう,birth,N1,N1_Group_9
出生,しゅっせい,birth,N1,N1_Group_9
比例,ひれい,proportion,N1,N1_Group_9
貧困,ひんこん,"poverty, lack",N1,N1_Group_9
品質,ひんしつ,quality,N1,N1_Group_9
貧弱,ひんじゃく,"poor, meager, insubstantial",N1,N1_Group_9
品種,ひんしゅ,"breed, type, variety",N1,N1_Group_9
頻繁,ひんぱん,frequency,N1,N1_Group_9
貧乏,びんぼう,"poverty, destitute, poor",N1,N1_Group_9
不意,ふい,"sudden, abrupt, unexpected",N1,N1_Group_9
風習,ふうしゅう,custom,N1,N1_Group_9
風俗,ふうぞく,"manners, customs; sex industry",N1,N1_Group_9
部下,ぶか,one's subordinate,N1,N1_Group_9
不況,ふきょう,"recession, depression, slump",N1,N1_Group_9
布巾,ふきん,dish cloth,N1,N1_Group_9
福祉,ふくし,"welfare, well-being",N1,N1_Group_9
布告,ふこく,"edict, ordinance, proclamation",N1,N1_Group_9
負債,ふさい,"debt, liabilities",N1,N1_Group_9
不在,ふざい,absence,N1,N1_Group_9
不順,ふじゅん,"irregularity, unseasonableness",N1,N1_Group_9
負傷,ふしょう,"injury, wound",N1,N1_Group_9
侮辱,ぶじょく,"insult, contempt, slight",N1,N1_Group_9
不振,ふしん,"dullness, slump, stagnation",N1,N1_Group_10
けがらわしい,けがらわしい,"filthy, unfair",N1,N1_Group_10
武装,ぶそう,"arms, armament, armed",N1,N1_Group_10
いっそ,いっそ,"rather, sooner, might as well",N1,N1_Group_10
負担,ふたん,burden; load,N1,N1_Group_10
急かす,せかす,"to hurry, to urge on",N1,N1_Group_10
何気ない,なにげない,"casual, unconcerned",N1,N1_Group_10
復活,ふっかつ,"revival (e.g., musical), restoration",N1,N1_Group_10
～きり,～きり,only,N1,N1_Group_10
物議,ぶつぎ,public discussion (criticism),N1,N1_Group_10
悩ましい,なやましい,"seductive, melancholy, languid",N1,N1_Group_10
即する,そくする,"to conform to, to agree with, to be adapted to,",N1,N1_Group_10
復旧,ふっきゅう,"restoration, restitution, rehabilitation",N1,N1_Group_10
極めて,きわめて,"exceedingly, extremely (written expression)",N1,N1_Group_10
復興,ふっこう,"revival, renaissance, reconstruction",N1,N1_Group_10
望ましい,のぞましい,"desirable, hoped for",N1,N1_Group_10
仏像,ぶつぞう,Buddhist image (statue),N1,N1_Group_10
備わる,そなわる,to be furnished with,N1,N1_Group_10
干し～,ほし～,dried ~,N1,N1_Group_10
物体,ぶったい,object,N1,N1_Group_10
いやらしい,いやらしい,"unpleasant, disgusting, indecent",N1,N1_Group_10
不当,ふとう,"injustice, impropriety, unfair",N1,N1_Group_10
そこら,そこら,"everywhere, somewhere",N1,N1_Group_10
具わる,そなわる,to be furnished with,N1,N1_Group_10
腐敗,ふはい,"decay, depravity",N1,N1_Group_10
落ち着き,おちつき,"calm, composure",N1,N1_Group_10
不服,ふふく,"dissatisfaction, discontent, disapproval",N1,N1_Group_10
マイ～,マイ～,"my ~, one's own ~",N1,N1_Group_10
普遍,ふへん,"universality, ubiquity, omnipresence",N1,N1_Group_10
染まる,そまる,to be dyed,N1,N1_Group_10
おっかない,おっかない,"frightening, scary",N1,N1_Group_10
扶養,ふよう,"support, maintenance",N1,N1_Group_10
もろに,もろに,"completely, altogether, bodily",N1,N1_Group_10
浮力,ふりょく,buoyancy,N1,N1_Group_10
おびただしい,おびただしい,"abundantly, innumerably",N1,N1_Group_10
題する,だいする,to title,N1,N1_Group_10
憤慨,ふんがい,"indignation, resentment",N1,N1_Group_10
文語,ぶんご,"written language, literary language",N1,N1_Group_10
分散,ぶんさん,"dispersion, decentralization, variance (statistics)",N1,N1_Group_10
くすぐったい,くすぐったい,ticklish,N1,N1_Group_10
分子,ぶんし,"numerator, molecule",N1,N1_Group_10
携わる,たずさわる,"to engage, to involve",N1,N1_Group_10
やけに,やけに,"sure, very",N1,N1_Group_10
紛失,ふんしつ,losing something,N1,N1_Group_10
あくどい,あくどい,gaudy vicious,N1,N1_Group_10
分担,ぶんたん,"apportionment, sharing",N1,N1_Group_10
分配,ぶんぱい,"division, sharing",N1,N1_Group_10
脱する,だっする,"to escape from, to get out",N1,N1_Group_10
分母,ぶんぼ,denominator,N1,N1_Group_10
浅ましい,あさましい,"shameful, mean, despicable",N1,N1_Group_10
粉末,ふんまつ,fine powder,N1,N1_Group_10
分離,ぶんり,"separation, detachment, segregation",N1,N1_Group_10
兵器,へいき,"arms, weapons, ordinance",N1,N1_Group_10
束ねる,たばねる,"to tie up in a bundle, to control",N1,N1_Group_10
閉口,へいこう,shut mouth,N1,N1_Group_10
平常,へいじょう,"normal, usual",N1,N1_Group_10
平方,へいほう,"square (e.g., meter, square)",N1,N1_Group_10
ベストセラー,ベストセラー,best-seller,N1,N1_Group_10
便宜,べんぎ,"convenience, accommodation",N1,N1_Group_10
垂れる,たれる,"to hang, to droop; to drip",N1,N1_Group_10
偏見,へんけん,"prejudice, narrow view",N1,N1_Group_10
弁護,べんご,"defense, pleading, advocacy",N1,N1_Group_10
弁償,べんしょう,"compensation, reparation, reimbursement",N1,N1_Group_10
返答,へんとう,reply,N1,N1_Group_10
弁論,べんろん,"discussion, debate, argument",N1,N1_Group_10
告げる,つげる,to inform,N1,N1_Group_10
保育,ほいく,"nursing, nurturing, rearing",N1,N1_Group_10
防衛,ぼうえい,"defense, protection, self-defense",N1,N1_Group_10
防火,ぼうか,"fire prevention, fire fighting, fire proof",N1,N1_Group_10
崩壊,ほうかい,"collapse, decay (physics), crumbling",N1,N1_Group_10
妨害,ぼうがい,"disturbance, obstruction, interference",N1,N1_Group_10
つねる,つねる,to pinch,N1,N1_Group_10
封建,ほうけん,feudalistic,N1,N1_Group_10
豊作,ほうさく,"abundant harvest, bumper crop",N1,N1_Group_10
方策,ほうさく,"plan, policy",N1,N1_Group_10
方式,ほうしき,"form, method, system",N1,N1_Group_10
放射,ほうしゃ,"radiation, emission",N1,N1_Group_10
つぶる (めを～),つぶる (めを～),to close the eyes,N1,N1_Group_10
報酬,ほうしゅう,"remuneration, recompense, reward",N1,N1_Group_10
放出,ほうしゅつ,"release, emit",N1,N1_Group_10
紡績,ぼうせき,spinning,N1,N1_Group_10
膨張,ぼうちょう,"expansion, swelling, increase",N1,N1_Group_10
法廷,ほうてい,courtroom,N1,N1_Group_10
徹する,てっする,"to devote oneself, to believe in",N1,N1_Group_10
報道,ほうどう,"coverage, report",N1,N1_Group_10
暴動,ぼうどう,"insurrection, riot, uprising",N1,N1_Group_10
褒美,ほうび,"reward, prize",N1,N1_Group_10
暴力,ぼうりょく,violence,N1,N1_Group_10
飽和,ほうわ,saturation,N1,N1_Group_10
割込む,わりこむ,"to cut in, to disturb",N1,N1_Group_10
捕獲,ほかく,"capture, seizure",N1,N1_Group_10
補給,ほきゅう,"supply, supplying, replenishment",N1,N1_Group_10
補強,ほきょう,reinforcement,N1,N1_Group_10
募金,ぼきん,"fund-raising, collection of funds",N1,N1_Group_10
牧師,ぼくし,"pastor, minister, clergyman",N1,N1_Group_10
励ます,はげます,"to encourage, to cheer, to raise (the voice)",N1,N1_Group_10
捕鯨,ほげい,whaling,N1,N1_Group_10
保険,ほけん,"insurance, guarantee",N1,N1_Group_10
母校,ぼこう,alma mater,N1,N1_Group_10
ポジション,ポジション,position,N1,N1_Group_10
保守,ほしゅ,"conservative, maintaining",N1,N1_Group_10
恥じる,はじる,to feel ashamed,N1,N1_Group_10
補充,ほじゅう,"supplementation, replenishment, replenishing",N1,N1_Group_10
補助,ほじょ,"assistance, support, auxiliary",N1,N1_Group_10
舗装,ほそう,"pavement, road surface",N1,N1_Group_10
補足,ほそく,"supplement, complement",N1,N1_Group_10
